ID	Lev	x	y	lx	ly	Тип	Доп	Маска	Конфиг	Комментарий	Сокращ.	Форма	Позиция	Файл F5	Знечение	
413	2					av				Здравоохранения	Здравоохр.					
										Больница, поликлиника	больница,полик-ка	Ф5	18_1	18_1	к00142	
										Аптека	аптека	Ф5	18_1	18_1	к00104	
// ----------------------------------------------------------------------------------																
131	1					rm		2	1f	Спортивные сооружения	спорт.сооруж-я					
415	1					av				Тип спортивного сооружения	тип спорт.сооруж-я					
										Спортзал	спортзал	Ф5	18_1	18_1	к00161	
										Стадион	стадион	Ф5	18_1	18_1	к00162	
										Бассейн	бассейн	Ф5	18_1	18_1	к00163	
										Иные спортивные сооружения	иные	Ф5	18_1	18_1	к00160	
// ---------------------------------------------------------------------------------------------																
130	1					rm		2	1f	Открытые участки местности	Откр. уч. местн.					
416	2					av				Виды открытых участков местности	виды					
									417	Общественные места	общ. места					
									418	Вне населенного пункта	вне насел. пункта					
417	2					av				Общественные места	общ. места					
										Улица	улица	Ф5	18_1	18_1	к00125	
										Парк, сквер	парк, сквер	Ф5	18_1	18_1	к00073	
										Двор дома	двор дома	Ф5	18_1	18_1	к00021	
										В местах несения патрульно-постовой службы в соответствии с планом единой дислокации 	в м.нес.ППС	Ф5	18_2	18_2	к0010	
										На территории, охраняемой ЧОП 	на тер.ох.ЧОП	Ф5	18_2	18_2	к0001	
										Иные общественные места	иные общ. места	Ф5	18_2	18_2	к1000	
418	2					av				Вне населенного пункта	вне насел. пункта					
										Лес, лесопосадка	лес, лесопосадка	Ф5	18_1	18_1	к00141	
										Водоем	водоем	Ф5	18_1	18_1	к00142	
										Земельный участок для посева наркотикосодержащих культур	зем.участ.для наркот.культур	Ф5	18_1	18_1	к00104	
									419	Автомобильные дороги (трасса)	автодороги (трасса)	Ф5				
										Иные вне населенного пункта	иные вне насел. пункта	Ф5	18_2	18_2	к2000	
419	2					av				Автомобильные дороги (трасса)	автодороги (трасса)					
										Автомобильные дороги	автом-е дороги	Ф5	18_1	18_1	к00145	
										Федерального значения	федер.значения	Ф5	18_1	18_1	к00146	
										Областного значения	областн.значения	Ф5	18_1	18_1	к00147	
										Иные автомобильные дороги	иные автодороги	Ф5	18_2	18_2	к0004	
// -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------																
700	1					rm		2	2f	Правоохранительные и правоприменительные органы	Правоохр. и правопримен. органы					
420	2					av				Вид	Вид	Ф5	18_1	18_1		
									421	Правоохранительные органы	правоохр.органы					
									422	Правоприменительные органы	правоприменит орг.				к00520	
421	2					av				Правоохранительные органы	правоохр.органы					
										внутренних дел	внутренних дел				к00510	
										СИЗО	СИЗО				к00515	
										иные правоохранительные органы	иные				к00500	
422	2					av				Правоприменительные органы	правоприменит орг.				к00520	
									423	юстиции	юстиции				к00521	
									424	Таможенные органы	таможенные органы				к00516	
423	2					av				Юстиции	юстиции					
										  – ИК	  – ИК				к00511	
										  – ВК	  – ВК				к00512	
										– ИУ	– ИУ				к00513	
										– тюрьма	– тюрьма				к00514	
																
424	2					av				Таможенные органы	таможенные органы				к00516	
										  – зона таможенного контроля	зона тамож.контроля				к00517	
										– таможенный склад	– таможенный склад				к00518	
										– магазин беспошлинной торговли	– магазин беспошл. торговли				к00519	
										Таможенный склад	таможенный склад				к00518	
										УРС, ОРС	УРС, ОРС				к00110	
// ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------																
132	1					rm		2	2f	??????????????	??????????????					
425	2					av				Газо-нефтепроводы	газо-нефте	Ф5	18_1	18_1		
										Нефтепровод	нефтепровод				к00581	
										Газопровод	газопровод				к00582	
										Нефтепродуктопровод	нефтепродуктопровод				к00583	
										Нефтетерминал	нефтетерминал				к00584	
										Газотерминал	газотерминал				к00585	
										Нефтепродуктотерминал	нефтепродуктотерминал				к00586	
										Прочее	прочее				к00071	
426	2					av				Охранные организации	охр.орг.	Ф5	18_1	18_1		
										Частная детективная организация	частн.детектив.орган-я				к00403	
										Охранная организация	охр.				к00404	
428	2					av				Объект	объект					
										Оборонного значения	оборонного знач.				к00211	
										Войсковая часть	войсковая часть				к00212	
// ----------------------------------------------------------------------------------------------------------------------------------------																
133	1					rm		2	2f	Предприятие	Предприятие					
429	1					av				Тип предприятия	Тип предприятия	Ф5	18_1	18_1		
										Фермерское хозяйство	фермерское хоз-во				к00137	
									430	Предприятие по переработке	по переработке					
									431	Предприятие по добыче	по добыче					
									432	Предприятие по производству	по производству					
									433	Предприятие по хранению	по хранению					
									434	 Предприятие по использованию	по использованию					
									435	Подпольная лаборатория (цех) по производству	под.лаб. (цех) по пр-ву					
430	2					av				По переработке	по переработке					
										Предприятие по переработке конопли, мака	конопли				к00411	
										Предприятие по переработке стратегического сырья	стратег.сырья				к00412	
										Предприятие по переработке рыбы, морского зверя, морепродуктов	рыбы,мор.зверя,мор-в				к00413	
										Иное предприятие по переработке	иное				к00410	
431	2					av				По добыче	по добыче					
										Предприятие по добыче (улову) рыбы, морского зверя, морепродуктов 	рыб,мор-в				к00415	
										Предприятие по добыче стратегического сырья	стр.сырья				к00416	
										Иное предприятие по добыче	иное				к00414	
432	2					av				По производству	по производствуву					
										Предприятие по производству оружия, боеприпасов, взрывчатых материалов	оруж,боепр,взр.матер-в				к00421	
										Предприятие по производству стратегических материалов	стратег.материалов				к00422	
										Предприятие по производству химических средств и сырья для изготовления наркотиков	хим.ср,сыр.д.пр.нарк.				к00423	
										Предприятие по производству оборудования для игорного бизнеса	обор.д.игор.биз.				к00424	
										Иное предприятие по производству	иное				к00420	
433	2					av				Предприятие по хранению	по хранению					
										Предприятие по хранению наркотических средств 	нарк.средств				к00541	
										Предприятие по хранению конопли, мака	коноп,мака				к00431	
										Предприятие по хранению оружия, боеприпасов, взрывчатых материалов	оруж,боеп,взр.матер.				к00432	
										Предприятие по хранению стратегических материалов	стратег.матер-в				к00433	
										Предприятие по хранению химических средств и сырья для изготовления наркотиков	х.ср-в,сыр.д.изг.нарк.				к00434	
										Иное предприятие по хранению	иное				к00430	
434	2					av				 Предприятие по использованию	по использованию					
										Предприятие по использованию химических средств и сырья для изготовления наркотиков	х.с..сыр.д.из.нар.				к00451	
										Иное предприятие по использованию	иное				к00450	
435	2					av				Подпольная лаборатория (цех) по производству	под.лаб. (цех) по пр-ву					
										Подпольная лаборатория по производству наркотических средств, сильнодействующих или психотропных веществ	нар.ср,психо.в-в				к00119	
										Подпольный цех по производству алкогольной продукции и этилового спирта	алк.пр,эт.сп.				к00570	
										Подпольный цех (лаборатория) по производству табачной продукции	таб.прод-и				к00580	
										Подпольный цех (лаборатория) по производству иной продукции	иное				к00119	
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
200						av				Место...						
										Сейф		Ф5	18_1	18_1		
										Кассовый аппарат	сейф				Х1ХХХ	
										Иное металлическое хранилище	касс-й аппарат				Х2ХХХ	
										Контейнер	металлич.хранилище				Х3ХХХ	
										Подвал	контейнер				Х4ХХХ	
										Подъезд	подвал				Х5ХХХ	
										Лифт	подъезд				Х6ХХХ	
										Камера хранения	лифт				Х7ХХХ	
										Атоматическая камера хранения самообслуживания (АКХС)	камера хранения				Х8ХХХ	
201						av				Придворовая территория	автоматич.камера хран-я				Х9ХХХ	
										Улица		Ф5	18_1	18_1		
										Парк, сквер	улица				ХХ125	
										Двор дома	парк, сквер				ХХХ73	
										Детсад (ясли)	двор дома				ХХХ21	
										Сарай	детсад (ясли)				ХХХ25	
										Стройка	сарай				ХХХ89	
										Гараж	стройка				ХХ123	
202						av				Место для проживания	гараж				ХХ102	
										Квартира, частный дом		Ф5	18_1	18_1		
										Офис	квартитра,дом				ХХ105	
										Дача, садовый домик	офис				ХХ139	
										Общежитие	дача,садов.дом				ХХ112	
										Гостиница	общежитие				ХХ113	
										Дом отдыха, санаторий, пансионат	гостиница				ХХ103	
203						av				Места культурного отдыха	дом отдыха,санатор,панс-т				ХХ111	
										Музей, выставочный зал, картинная галерея		Ф5	18_1	18_1		
										Кинотеатр, театр	муэеи,выстав.зал,карт.галер.				ХХ106	
										Гардероб (вешалка)	кинотеатр, театр				ХХХ39	
										Библиотека	гардероб(вешалка)				ХХХ15	
										Архив	библиотека				ХХ128	
										Место отправления религиозного культа	архив				ХХ101	
204						av				Отделения связи	место религиоз.культа				ХХ107	
										Отделение связи		Ф5	18_1	18_1		
										Почта 	отделение связи				ХХ114	
										Телеграф	почта 				ХХ132	
										Переговорный пункт	телеграф				ХХХ33	
205						av				Образовательные учреждения	переговор.пункт				ХХХ34	
										Образовательные учреждения		Ф5	18_1	18_1		
										Дошкольные	образоват.учрежд.				ХХ152	
										Общеобразовательные	дошкольные				ХХ153	
										Начального профессионального образования	общеобразоват.				ХХ154	
										Среднего профессионального образования	нач.проф.обр-я				ХХ156	
										Высшего профессионального образования	сред.проф.обр-я				ХХ157	
206						av				Складские помещения	высш.проф.обр-я				ХХ155	
										Склад, база		Ф5	18_1	18_1		
										Таможенный склад	склад, база				ХХ108	
										УРС, ОРС	таможенный склад				ХХ518	
207						av				Места торговли	УРС, ОРС				ХХ110	
										Магазин антиквариата		Ф5	18_1	18_1		
										Киоск	магазин антиквариата				ХХ136	
										Рынок	киоск				ХХ129	
										Другие торговые точки	рынок				ХХ130	
208						av				Обменные пункты	др.торгов.точки				ХХ109	
										Касса (помещение)		Ф5	18_1	18_1		
										Обменный пункт валюты	касса (помещение)				ХХ116	
										Ломбард, скупка	обменн. пункт валюты				ХХ115	
										Банк	ломбард, скупка				ХХ135	
209						av				Природные объекты	банк				ХХ144	
										Фермерское хозяйство						
										Лес, лесопосадка	фермерское хоз-во				ХХ137	
										Водоем	лес, лесопосадка				ХХ141	
										Земельный участок для посева наркотикосодержащих культур	водоем				ХХ142	
210						av				Объекты здравоохранения	зем.участ.для наркот.культур				ХХ104	
										Больница, поликлиника		Ф5	18_1	18_1		
										Аптека	больница,полик-ка				ХХ142	
211						av				Спотривные оъекты	аптека				ХХ104	
										Спортивные сооружения		Ф5	18_1	18_1		
										Спортзал	спорт.сооруж-я				ХХ160	
										Стадион	спортзал				ХХ161	
										Бассейн	стадион				ХХ162	
212						av				Объекты сфер обслуживания	бассейн				ХХ163	
										Ателье		Ф5	18_1	18_1		
										Парикмахерская	ателье				ХХ180	
										Баня	парикмахерская				ХХ181	
										Химчистка	баня				ХХ182	
										Сферы обслуживания	имчистка				ХХ183	
213						av					сферы обслуживания				ХХХ67	
										Ресторан, бар		Ф5	18_1	18_1		
										Бюро ритуальных услуг	ресторан, бар				ХХ131	
										Кладбище	бюро ритуал. услуг				ХХ184	
										Общественный туалет	кладбище				ХХ185	
214						av				Объекты 	обществ. туалет				ХХ143	
										Игорного бизнеса		Ф5	18_1	18_1		
										Казино	игорного бизнеса				ХХ201	
										Дискотека	казино				ХХ202	
										Видеосалон	дискотека				ХХ203	
										Ипподром	видеосалон				ХХ204	
										Оборонного значения	ипподром				ХХ205	
										Войсковая часть	оборонного знач.				ХХ211	
